enrollment_no,subject_id,assessment_type,score,max_score,attempt_number,assessment_date
EP2025013,a1b2c3d4-0001-0001-0001-000000000004,Quiz 1,16.0,50.0,1,2025-01-20
EP2025013,a1b2c3d4-0001-0001-0001-000000000004,Midterm,27.0,100.0,1,2025-02-15
EP2025013,a1b2c3d4-0001-0001-0001-000000000004,Midterm,30.0,100.0,2,2025-02-22
EP2025013,a1b2c3d4-0001-0001-0001-000000000004,Midterm,28.0,100.0,3,2025-03-01
EP2025013,a1b2c3d4-0001-0001-0001-000000000005,Quiz 1,15.0,50.0,1,2025-01-21
EP2025013,a1b2c3d4-0001-0001-0001-000000000005,Midterm,22.0,100.0,1,2025-02-16
EP2025013,a1b2c3d4-0001-0001-0001-000000000005,Assignment 1,9.0,40.0,1,2025-03-05
EP2025013,a1b2c3d4-0001-0001-0001-000000000005,Final Exam,21.0,100.0,1,2025-04-10
EP2025014,a1b2c3d4-0001-0001-0001-000000000004,Quiz 1,44.0,50.0,1,2025-01-20
EP2025014,a1b2c3d4-0001-0001-0001-000000000004,Midterm,83.0,100.0,1,2025-02-15
EP2025014,a1b2c3d4-0001-0001-0001-000000000005,Quiz 1,43.0,50.0,1,2025-01-21
EP2025014,a1b2c3d4-0001-0001-0001-000000000005,Midterm,80.0,100.0,1,2025-02-16
EP2025014,a1b2c3d4-0001-0001-0001-000000000005,Assignment 1,36.0,40.0,1,2025-03-05
EP2025014,a1b2c3d4-0001-0001-0001-000000000005,Final Exam,86.0,100.0,1,2025-04-10
EP2025015,a1b2c3d4-0001-0001-0001-000000000004,Quiz 1,46.0,50.0,1,2025-01-20
EP2025015,a1b2c3d4-0001-0001-0001-000000000004,Midterm,87.0,100.0,1,2025-02-15
EP2025015,a1b2c3d4-0001-0001-0001-000000000005,Quiz 1,45.0,50.0,1,2025-01-21
EP2025015,a1b2c3d4-0001-0001-0001-000000000005,Midterm,85.0,100.0,1,2025-02-16
EP2025015,a1b2c3d4-0001-0001-0001-000000000005,Assignment 1,37.0,40.0,1,2025-03-05
EP2025015,a1b2c3d4-0001-0001-0001-000000000005,Final Exam,89.0,100.0,1,2025-04-10
EP2025016,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,17.0,50.0,1,2025-01-20
EP2025016,a1b2c3d4-0001-0001-0001-000000000001,Midterm,26.0,100.0,1,2025-02-15
EP2025016,a1b2c3d4-0001-0001-0001-000000000001,Midterm,29.0,100.0,2,2025-02-22
EP2025016,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,16.0,50.0,1,2025-01-21
EP2025016,a1b2c3d4-0001-0001-0001-000000000002,Midterm,23.0,100.0,1,2025-02-16
EP2025016,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,8.0,40.0,1,2025-03-05
EP2025016,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,22.0,100.0,1,2025-04-10
EP2025017,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,42.0,50.0,1,2025-01-20
EP2025017,a1b2c3d4-0001-0001-0001-000000000001,Midterm,78.0,100.0,1,2025-02-15
EP2025017,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,41.0,50.0,1,2025-01-21
EP2025017,a1b2c3d4-0001-0001-0001-000000000002,Midterm,75.0,100.0,1,2025-02-16
EP2025017,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,34.0,40.0,1,2025-03-05
EP2025017,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,80.0,100.0,1,2025-04-10
EP2025018,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,44.0,50.0,1,2025-01-20
EP2025018,a1b2c3d4-0001-0001-0001-000000000001,Midterm,82.0,100.0,1,2025-02-15
EP2025018,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,43.0,50.0,1,2025-01-21
EP2025018,a1b2c3d4-0001-0001-0001-000000000002,Midterm,79.0,100.0,1,2025-02-16
EP2025018,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,36.0,40.0,1,2025-03-05
EP2025018,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,85.0,100.0,1,2025-04-10
EP2025019,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,15.0,50.0,1,2025-01-20
EP2025019,a1b2c3d4-0001-0001-0001-000000000001,Midterm,24.0,100.0,1,2025-02-15
EP2025019,a1b2c3d4-0001-0001-0001-000000000001,Midterm,27.0,100.0,2,2025-02-22
EP2025019,a1b2c3d4-0001-0001-0001-000000000001,Midterm,25.0,100.0,3,2025-03-01
EP2025019,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,14.0,50.0,1,2025-01-21
EP2025019,a1b2c3d4-0001-0001-0001-000000000002,Midterm,21.0,100.0,1,2025-02-16
EP2025019,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,7.0,40.0,1,2025-03-05
EP2025019,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,20.0,100.0,1,2025-04-10
EP2025020,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,45.0,50.0,1,2025-01-20
EP2025020,a1b2c3d4-0001-0001-0001-000000000001,Midterm,86.0,100.0,1,2025-02-15
EP2025020,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,44.0,50.0,1,2025-01-21
EP2025020,a1b2c3d4-0001-0001-0001-000000000002,Midterm,83.0,100.0,1,2025-02-16
EP2025020,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,37.0,40.0,1,2025-03-05
EP2025020,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,90.0,100.0,1,2025-04-10
EP2025021,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,20.0,50.0,1,2025-01-20
EP2025021,a1b2c3d4-0001-0001-0001-000000000001,Midterm,31.0,100.0,1,2025-02-15
EP2025021,a1b2c3d4-0001-0001-0001-000000000001,Midterm,35.0,100.0,2,2025-02-22
EP2025021,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,19.0,50.0,1,2025-01-21
EP2025021,a1b2c3d4-0001-0001-0001-000000000002,Midterm,29.0,100.0,1,2025-02-16
EP2025021,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,13.0,40.0,1,2025-03-05
EP2025021,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,30.0,100.0,1,2025-04-10
EP2025022,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,43.0,50.0,1,2025-01-20
EP2025022,a1b2c3d4-0001-0001-0001-000000000001,Midterm,79.0,100.0,1,2025-02-15
EP2025022,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,42.0,50.0,1,2025-01-21
EP2025022,a1b2c3d4-0001-0001-0001-000000000002,Midterm,76.0,100.0,1,2025-02-16
EP2025022,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,35.0,40.0,1,2025-03-05
EP2025022,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,81.0,100.0,1,2025-04-10
EP2025023,a1b2c3d4-0001-0001-0001-000000000004,Quiz 1,13.0,50.0,1,2025-01-20
EP2025023,a1b2c3d4-0001-0001-0001-000000000004,Midterm,22.0,100.0,1,2025-02-15
EP2025023,a1b2c3d4-0001-0001-0001-000000000004,Midterm,25.0,100.0,2,2025-02-22
EP2025023,a1b2c3d4-0001-0001-0001-000000000004,Midterm,23.0,100.0,3,2025-03-01
EP2025023,a1b2c3d4-0001-0001-0001-000000000005,Quiz 1,12.0,50.0,1,2025-01-21
EP2025023,a1b2c3d4-0001-0001-0001-000000000005,Midterm,19.0,100.0,1,2025-02-16
EP2025023,a1b2c3d4-0001-0001-0001-000000000005,Assignment 1,6.0,40.0,1,2025-03-05
EP2025023,a1b2c3d4-0001-0001-0001-000000000005,Final Exam,18.0,100.0,1,2025-04-10
EP2025024,a1b2c3d4-0001-0001-0001-000000000004,Quiz 1,44.0,50.0,1,2025-01-20
EP2025024,a1b2c3d4-0001-0001-0001-000000000004,Midterm,84.0,100.0,1,2025-02-15
EP2025024,a1b2c3d4-0001-0001-0001-000000000005,Quiz 1,43.0,50.0,1,2025-01-21
EP2025024,a1b2c3d4-0001-0001-0001-000000000005,Midterm,81.0,100.0,1,2025-02-16
EP2025024,a1b2c3d4-0001-0001-0001-000000000005,Assignment 1,36.0,40.0,1,2025-03-05
EP2025024,a1b2c3d4-0001-0001-0001-000000000005,Final Exam,87.0,100.0,1,2025-04-10
EP2025025,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,18.0,50.0,1,2025-01-20
EP2025025,a1b2c3d4-0001-0001-0001-000000000001,Midterm,28.0,100.0,1,2025-02-15
EP2025025,a1b2c3d4-0001-0001-0001-000000000001,Midterm,32.0,100.0,2,2025-02-22
EP2025025,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,17.0,50.0,1,2025-01-21
EP2025025,a1b2c3d4-0001-0001-0001-000000000002,Midterm,26.0,100.0,1,2025-02-16
EP2025025,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,11.0,40.0,1,2025-03-05
EP2025025,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,25.0,100.0,1,2025-04-10
EP2025026,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,42.0,50.0,1,2025-01-20
EP2025026,a1b2c3d4-0001-0001-0001-000000000001,Midterm,76.0,100.0,1,2025-02-15
EP2025026,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,41.0,50.0,1,2025-01-21
EP2025026,a1b2c3d4-0001-0001-0001-000000000002,Midterm,73.0,100.0,1,2025-02-16
EP2025026,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,33.0,40.0,1,2025-03-05
EP2025026,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,79.0,100.0,1,2025-04-10
EP2025027,a1b2c3d4-0001-0001-0001-000000000004,Quiz 1,16.0,50.0,1,2025-01-20
EP2025027,a1b2c3d4-0001-0001-0001-000000000004,Midterm,25.0,100.0,1,2025-02-15
EP2025027,a1b2c3d4-0001-0001-0001-000000000004,Midterm,28.0,100.0,2,2025-02-22
EP2025027,a1b2c3d4-0001-0001-0001-000000000005,Quiz 1,15.0,50.0,1,2025-01-21
EP2025027,a1b2c3d4-0001-0001-0001-000000000005,Midterm,23.0,100.0,1,2025-02-16
EP2025027,a1b2c3d4-0001-0001-0001-000000000005,Assignment 1,10.0,40.0,1,2025-03-05
EP2025027,a1b2c3d4-0001-0001-0001-000000000005,Final Exam,22.0,100.0,1,2025-04-10
EP2025028,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,45.0,50.0,1,2025-01-20
EP2025028,a1b2c3d4-0001-0001-0001-000000000001,Midterm,85.0,100.0,1,2025-02-15
EP2025028,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,44.0,50.0,1,2025-01-21
EP2025028,a1b2c3d4-0001-0001-0001-000000000002,Midterm,82.0,100.0,1,2025-02-16
EP2025028,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,37.0,40.0,1,2025-03-05
EP2025028,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,88.0,100.0,1,2025-04-10
EP2025029,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,19.0,50.0,1,2025-01-20
EP2025029,a1b2c3d4-0001-0001-0001-000000000001,Midterm,30.0,100.0,1,2025-02-15
EP2025029,a1b2c3d4-0001-0001-0001-000000000001,Midterm,33.0,100.0,2,2025-02-22
EP2025029,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,18.0,50.0,1,2025-01-21
EP2025029,a1b2c3d4-0001-0001-0001-000000000002,Midterm,27.0,100.0,1,2025-02-16
EP2025029,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,11.0,40.0,1,2025-03-05
EP2025029,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,26.0,100.0,1,2025-04-10
EP2025030,a1b2c3d4-0001-0001-0001-000000000004,Quiz 1,46.0,50.0,1,2025-01-20
EP2025030,a1b2c3d4-0001-0001-0001-000000000004,Midterm,88.0,100.0,1,2025-02-15
EP2025030,a1b2c3d4-0001-0001-0001-000000000005,Quiz 1,45.0,50.0,1,2025-01-21
EP2025030,a1b2c3d4-0001-0001-0001-000000000005,Midterm,86.0,100.0,1,2025-02-16
EP2025030,a1b2c3d4-0001-0001-0001-000000000005,Assignment 1,38.0,40.0,1,2025-03-05
EP2025030,a1b2c3d4-0001-0001-0001-000000000005,Final Exam,91.0,100.0,1,2025-04-10
