enrollment_no,semester,amount_due,amount_paid,due_date,paid_date,status
EP2025014,3,60000.00,60000.00,2025-08-15,2025-08-10,paid
EP2025014,4,60000.00,60000.00,2026-01-15,2026-01-10,paid
EP2025014,5,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025015,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025015,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025015,3,60000.00,60000.00,2025-08-15,2025-08-10,paid
EP2025015,4,60000.00,60000.00,2026-01-15,2026-01-10,paid
EP2025015,5,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025016,1,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025017,1,60000.00,0.00,2026-07-15,,overdue
EP2025018,1,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025019,1,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025020,1,60000.00,30000.00,2026-07-30,2026-07-25,partial
EP2025021,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025021,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025021,3,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025022,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025022,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025022,3,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025023,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025023,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025023,3,60000.00,60000.00,2025-08-15,2025-08-10,paid
EP2025023,4,60000.00,60000.00,2026-01-15,2026-01-10,paid
EP2025023,5,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025024,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025024,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025024,3,60000.00,60000.00,2025-08-15,2025-08-10,paid
EP2025024,4,60000.00,60000.00,2026-01-15,2026-01-10,paid
EP2025024,5,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025025,1,60000.00,0.00,2026-07-15,,overdue
EP2025026,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025026,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025026,3,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025027,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025027,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025027,3,60000.00,60000.00,2025-08-15,2025-08-10,paid
EP2025027,4,60000.00,60000.00,2026-01-15,2026-01-10,paid
EP2025027,5,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025028,1,60000.00,30000.00,2026-07-30,2026-07-25,partial
EP2025029,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025029,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025029,3,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025030,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025030,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025030,3,60000.00,60000.00,2025-08-15,2025-08-10,paid
EP2025030,4,60000.00,60000.00,2026-01-15,2026-01-10,paid
EP2025030,5,60000.00,60000.00,2026-08-15,2026-08-02,paid
